城市地址,商铺网址,商铺名称,商品编号,商铺星级,所在区域名称,分类名称,口味评分,环境评分,服务评分,人均消费
杭州,http://www.dianping.com/shop/95470118,谢大牛馆·黄牛骨中式牛排,95470118,45,德胜路沿线,江浙小吃,8.8,8.1,8.3,85
杭州,http://www.dianping.com/shop/1658471363,廣東牛磨坊潮州卤水手工粉面,1658471363,40,解放路沿线,粤菜馆,8.6,8.2,8.5,55
杭州,http://www.dianping.com/shop/126089154,The Habit Burger Grill 哈比特汉堡,126089154,45,城西银泰,西式快餐,8.7,8.4,8.6,58
杭州,http://www.dianping.com/shop/98608738,汪保来,98608738,45,高新文教区,面包烘焙,8.6,8.5,8.4,26
杭州,http://www.dianping.com/shop/1693451690,满满初牛·和风私宴,1693451690,50,龙井/虎跑,私房菜,9.2,9.3,9.3,437
杭州,http://www.dianping.com/shop/45823060,大力士,45823060,45,凤起路沿线,韩国料理,8.9,8.2,8.6,103
杭州,http://www.dianping.com/shop/121480283,乾湖会·海鲜姿造美学餐厅,121480283,50,钱江新城,自助餐,9.0,9.1,9.0,407
杭州,http://www.dianping.com/shop/132235123,茶百道,132235123,50,新塘路/秋涛路沿线,茶饮果汁,9.0,8.8,9.0,16
杭州,http://www.dianping.com/shop/1235699506,CoCo壱番屋,1235699506,40,西湖区,日本料理,8.6,8.4,8.2,57
杭州,http://www.dianping.com/shop/842038842,AZAHAR BAKERY,842038842,45,钱江新城,面包烘焙,8.6,8.8,8.7,26
杭州,http://www.dianping.com/shop/21617144,喝丢一只鞋·老东北主题泥炉烤肉,21617144,45,信义坊,融合烤肉,8.7,8.4,8.4,105
杭州,http://www.dianping.com/shop/831131024,Mud AND Field瑪德菲尔德面包房,831131024,45,拱墅区,面包烘焙,8.7,8.8,8.5,40
杭州,http://www.dianping.com/shop/121816489,意坊,121816489,50,西湖银泰,西餐,9.0,9.3,9.1,204
杭州,http://www.dianping.com/shop/131877624,Primo·丽莫意大利披萨,131877624,50,开发区/高教园,西餐,9.3,9.2,9.3,107
杭州,http://www.dianping.com/shop/65694435,1%coffee,65694435,50,彩虹城,咖啡厅,9.1,8.2,9.0,24
杭州,http://www.dianping.com/shop/1349174912,悅華榮發 · 港式火鍋酒樓,1349174912,40,滨江天街,打边炉/港式火锅,8.4,9.0,8.4,245
杭州,http://www.dianping.com/shop/1004677154,比呐食手打虾滑,1004677154,40,吴山广场/河坊街,快餐简餐,8.3,7.8,8.1,23
杭州,http://www.dianping.com/shop/102473734,SECTION&COFFEE沙县咖啡,102473734,45,城东,咖啡厅,8.9,8.2,8.6,27
杭州,http://www.dianping.com/shop/97274011,六贤记宫廷糕点,97274011,40,开发区/高教园,面包烘焙,8.4,8.3,8.1,29
杭州,http://www.dianping.com/shop/57892853,晌熏·欧巴年糕,57892853,50,下沙,韩国料理,9.1,9.1,9.2,66
杭州,http://www.dianping.com/shop/1069401991,上房火鍋,1069401991,50,钱江新城,海鲜火锅,9.1,9.1,8.6,661
杭州,http://www.dianping.com/shop/19218174,馋世界,19218174,40,庆春路沿线,快餐简餐,8.3,7.9,7.8,84
杭州,http://www.dianping.com/shop/98702784,荣先森·闽南菜,98702784,50,北大桥/大悦城,闽南菜,9.0,9.0,9.1,95
杭州,http://www.dianping.com/shop/92392595,粤顺餐馆（营业中-可堂食）,92392595,45,西湖北线/黄龙,顺德菜,9.0,8.9,8.6,167
杭州,http://www.dianping.com/shop/129780193,庆春食堂·102道纯手工蔬食料理,129780193,50,庆春路沿线,素食,9.2,9.3,9.3,85
杭州,http://www.dianping.com/shop/1469847693,澳门星记猪骨,1469847693,40,吴山广场/河坊街,火锅,8.6,8.6,8.7,123
杭州,http://www.dianping.com/shop/130290617,罗云洞韩国饭店,130290617,40,武林广场,韩国料理,8.3,8.7,8.7,74
杭州,http://www.dianping.com/shop/132024937,701.Cake·动物奶油蛋糕定制,132024937,50,下沙,面包烘焙,9.2,9.0,9.2,96
杭州,http://www.dianping.com/shop/130792714,文兴酒家•始于1990,130792714,50,钱江新城,粤菜馆,9.0,9.1,8.9,225
南京,http://www.dianping.com/shop/707118854,麥吉machimachi,707118854,45,珠江路沿线,茶饮果汁,8.7,8.5,8.6,31
南京,http://www.dianping.com/shop/102970225,Eggsoul蛋魂,102970225,50,新街口地区,西餐,9.0,8.4,8.8,48
南京,http://www.dianping.com/shop/4664378,章云板鸭店,4664378,45,新街口地区,熟食熏酱,8.7,8.3,8.5,45
南京,http://www.dianping.com/shop/566541,李记清真馆,566541,45,升州路/集庆路,快餐简餐,8.7,7.6,7.6,24
南京,http://www.dianping.com/shop/121797610,LELECHA乐乐茶,121797610,45,新街口地区,茶饮果汁,9.0,8.8,8.5,34
南京,http://www.dianping.com/shop/1163694178,香港名发茶冰厅,1163694178,45,新街口地区,茶餐厅,8.6,8.6,8.1,85
南京,http://www.dianping.com/shop/131463704,点都德,131463704,45,环宇城,粤式茶点,8.8,8.8,8.5,100
南京,http://www.dianping.com/shop/17196814,许阿姨糕团店,17196814,45,常府街/长白街,小吃,8.8,8.2,8.5,19
南京,http://www.dianping.com/shop/22792468,Bopeye 80'波派炸鸡&啤酒,22792468,50,新街口地区,韩国料理,9.1,8.9,9.0,67
南京,http://www.dianping.com/shop/131852289,火山屋台·线食,131852289,45,新街口地区,快餐简餐,8.4,8.7,8.5,47
南京,http://www.dianping.com/shop/877388628,% Arabica,877388628,40,新街口地区,咖啡厅,8.5,8.7,8.4,45
南京,http://www.dianping.com/shop/2638693,四川酒家,2638693,40,常府街/长白街,川菜家常菜,8.3,7.9,7.8,45
