name,desc,date
hzyhlp168,一直喜欢他家的雪媚娘，新鲜味道好,2017年10月13日
明天fdy,多次买了！味道很好！服务也很周到！一直支持！,2017年9月14日
匿名用户,绝对好吃 特意从塘栖跑到临平买 路痴表示还开错道 弟弟生日  他和爸妈吃了秒好评 值了这趟油费😂,2017年8月27日
花退残花,一如既往的好,2017年10月8日
hu14191435,满意，新鲜，美味,2017年10月8日
四度微寒,味道很好，水果新鲜，小孩很喜欢吃。,2017年8月28日
wjh521521,好吃，买好几次了，奶油是动物奶油！大家可以买来尝一尝,2017年9月30日
乐清小霸王,"吃过四种口味之后 觉得奥利奥最好吃.另外 昨日微信下单买了一些美团没有的,奥尔良甜筒披萨, 芝士硬的程度让我咬啊咬 咬到最后牙好累 心也累. 奶盖贡茶味道怪 以前喝过茶和奶搭配的饮品都不错. 不知道是茶不对还是奶不好.高人气的蓝色夏威夷味道特别 不算好喝唯一可爱的猫爪伯爵却忘了放猫爪... 说真的当时坐凳子上休息了好久 幻想中的美好食物竟是这般.",2017年6月28日
小水滴130,味道一如既往的好吃～主要是实惠～性价比挺高～,2017年9月22日
晓鱼鱼鱼鱼鱼,蛋糕很好，奶油不是那种甜到腻的，很好吃，服务态度也好，表白给我打包的小姐姐哈哈哈,2017年8月23日
匿名用户,桔子郎家的雪媚娘是我吃的雪媚娘中比较好吃的了 又大个,2017年9月16日
匿名用户,蛋糕很漂亮，味道也非常不错，还会继续订购。,2017年8月31日
yaoyan0205,保健路店好吃,2017年9月18日
sljka,每次去不是买雪媚娘就是千层，真心超级好吃😋。雪媚娘两大个超级便宜，其他地方小小个的都好贵，千层也是水果又多，奶油又好吃😋，比很多店的都好吃😋。每次都给朋友推荐，真的大受欢迎。👏👏👏,2017年8月17日
qls2008520,东西很不错，以前一直在这里买的,2017年9月16日
浪漫的呶呶小猪,不错，经常去吃,2017年9月15日
浪漫的呶呶小猪,不错,2017年9月15日
Happy和小鱼,最好吃，没有之一,2017年8月26日
阿哦呀吼,慕斯蛋糕都卖完了 只剩盆栽 味道一般 饮料和雪媚娘的味道依旧很好～,2017年8月30日
匿名用户,雪媚娘真的很好吃，奶油甜而不腻，每星期必买，,2017年8月1日
WDNMD2B,好次,2017年8月27日
lBO565886209,好吃，个头也非常大！,2017年9月9日
鲜的蜜桃果汁,每次想吃蛋糕就选他家，便宜又好吃。芒果都很新鲜，奶油一点也不腻。我一个人都可以吃半个。而且团购很方便，只要预定了很快就可以拿。每次生日节日都去他家买，真的很好吃。比其他店的奶油好吃多了。店里环境也不错。干净，整洁。,2017年6月12日
匿名用户,贼好吃的呢！嘿嘿。强推,2017年9月7日
阿哦呀吼,店里品种不齐全 没吃到想吃的口味,2017年8月30日
点点NoNoA,好吃，新鲜，老顾客了,2017年8月31日
rainyJJJ,自己去上门取货的，要的榴莲蛋糕。,2017年8月30日
匿名用户,芒果有点酸，其他都超赞,2017年9月1日
阿哦呀吼,味道一如既往的👍~糯糯的～,2017年8月30日
小轩wss525,还可以不过没有评价的那么好吃,2017年8月22日
娟子宝宝1,老顾客了，自不必多说,2017年8月16日
Lemonitee,放暑假回家的第一天晚上就去吃了心心念念的雪媚娘 要了奥利奥和木糠的 开心开心,2017年7月21日
林筱莳,经常吃的，味道很好，奶油都是动物奶油,2017年7月7日
lumihang,根本吃不出来是芒果，一丁点味道都没有的芒果,2017年7月23日
匿名用户,环境非常的棒，味道很棒，推荐购买,2017年7月24日
匿名用户,味道非常美味，干净卫生，值得购买,2017年7月24日
G.D459,很好吃的雪媚娘，来过好多次了，它家的太好吃，奶油不腻,2017年7月23日
blingbling啵,蛋糕很好吃，就是奶油很纯，吃多了有点点腻。,2017年7月24日
