names,direction,money,experience,condition,company,welfare
高级硬件总监-新兴移动终端14413070,深圳·南山区,30k-50k,经验3-5年 / 本科,硬件 / 不需要融资 / 2000人以上,OPPO,"千万级用户,高并发系统,奖金丰厚"
嵌入式软件工程师,上海·嘉定区,10k-20k,经验1-3年 / 本科,"其他,企业服务 / 未融资 / 150-500人",上海航盛,提供住宿/员工旅游/年终奖金
Python自动化测试,南京·雨花台区,10k-17k,经验3-5年 / 本科,"移动互联网,企业服务 / 不需要融资 / 500-2000人",瞬联软件科技（北京）有限公司,商业保险 培训
自动化测试,上海·长宁区,10k-18k,经验不限 / 本科,"移动互联网,企业服务 / 不需要融资 / 500-2000人",瞬联软件科技（北京）有限公司,六险一金 带薪假期 弹性工作 外企氛围
自动化中级测试师,杭州·西溪,10k-14k,经验3-5年 / 本科,"数据服务,软件开发 / B轮 / 50-150人",沃点网络,发展前景良好、上班氛围轻松愉悦、五险一金
自动化工程师,深圳·横岗,6k-12k,经验不限 / 本科,"移动互联网,硬件 / 不需要融资 / 150-500人",鲁班嫡系机器人,"五险一金,带薪年假,扁平管理,周末双休"
软件测试/自动化测试,杭州·江南,7k-12k,经验1年以下 / 本科,"企业服务,金融 / 不需要融资 / 2000人以上",汇合,5天工作制 年终奖 六险一金 项目稳定
自动化运维工程师,北京·月坛,10k-15k,经验3-5年 / 本科,金融 / 上市公司 / 500-2000人,南软,五险一金 交通补助 餐费补助 定期体检
自动化运维工程师,上海·北新泾,8k-15k,经验1-3年 / 本科,"企业服务,硬件 / 上市公司 / 2000人以上",Altran （亚创）,六险一金
自动化测试（考虑java转行）,上海·张江,14k-22k,经验3-5年 / 本科,金融 / 上市公司 / 500-2000人,奥解思,福利好，弹性工作制，培训机会多
自动化测试工程师,广州·珠江新城,15k-22k,经验5-10年 / 本科,"数据服务,金融 / 未融资 / 500-2000人",CLPS,"双休,六险一金,年终奖,弹性上下班"
APP 自动化测试,上海·北新泾,18k-28k,经验3-5年 / 本科,"人工智能,物联网 / B轮 / 50-150人",乔轩信息,有竞争力的薪资，发展空间巨大
自动化测试工程师,珠海·香洲区,10k-15k,经验1-3年 / 本科,"电商,移动互联网 / B轮 / 150-500人",伽轩,年底双薪 周末双休
工业自动化工程师,上海·徐泾,15k-30k,经验5-10年 / 本科,"企业服务,数据服务 / A轮 / 50-150人",上海优也信息科技有限公司,有挑战性有前景的工业互联网行业
CRM高级自动化测试,杭州·长河,15k-17k,经验3-5年 / 本科,"企业服务,移动互联网 / 不需要融资 / 2000人以上",微创软件,阿里巴巴-核心业务CRM研发部，周末双休
自动化设备工程师,河源·源城区,7k-10k,经验5-10年 / 大专,"移动互联网,物联网 / 未融资 / 150-500人",高谱技术,年度体检 旅游 周末双休
测试工程师自动化,广州·天河北,10k-15k,经验3-5年 / 不限,其他 / 不需要融资 / 50-150人,中伊实业,行业好，扩张期，领导好，团队好，双休
高级电子工程师（吸尘器）,深圳·西丽,15k-25k,经验5-10年 / 本科,移动互联网 / 不需要融资 / 500-2000人,Anker,扁平管理 晋升机会 包三餐 带薪年假
资深电子硬件工程师,北京·望京,18k-28k,经验3-5年 / 本科,移动互联网 / 未融资 / 50-150人,青岳科技,团队优秀，氛围良好，免费水果零食
模拟电路工程师/电子工程师（模拟电路设计方向）,北京·海淀区,15k-25k,经验1-3年 / 本科,其他 / 未融资 / 50-150人,航天泰睿,股权激励，团队厉害，五险一金，弹性工作
资深/高级电子电路工程师,北京·西二旗,25k-50k,经验5-10年 / 本科,房产家居 / D轮及以上 / 2000人以上,贝壳,优质平台/团队；核心业务
智能硬件工程师/电子工程师,上海·浦东新区,15k-18k,经验3-5年 / 本科,"移动互联网,电商 / 未融资 / 15-50人",Catgenie猫洁易,饭贴、交通补贴、全勤奖、五险一金
电子数据取证 / 信息安全工程师,上海·七宝,10k-20k,经验不限 / 本科,数据服务 / 未融资 / 50-150人,弘连网络,弹性工作、内部培训、技术挑战、年底多薪
初级硬件工程师（电子电路方向）,广州·天河区,5k-8k,经验不限 / 本科,"移动互联网,硬件 / 天使轮 / 50-150人",大气候物联网科技,年假、体检、旅游、双休、五险一金等
汽车电子软件工程师,深圳·龙华新区,8k-12k,经验3-5年 / 本科,汽车丨出行 / 未融资 / 50-150人,爱普精密,未来发展前景非常好！
资深汽车电子工程师,杭州·文一路,12k-18k,经验3-5年 / 本科,"人工智能,物联网 / D轮及以上 / 500-2000人",虹软科技,AI人工智能
电子烟产品工程师,深圳·宝安区,5k-8k,经验应届毕业生 / 大专,电商 / D轮及以上 / 150-500人,亿乐谷,五险一金；完善的培训体系；晋升空间；
电子工程师,深圳·龙华新区,13k-25k,经验3-5年 / 本科,电商 / 未融资 / 50-150人,理德铭科技,双休;境外游
电子工程师,深圳·坪山新区,7k-13k,经验1-3年 / 大专,人工智能 / 未融资 / 少于15人,华卓机器人,工资+奖金+保险+福利等
java开发工程师-电子商务平台,上海·张江,15k-30k,经验3-5年 / 本科,金融 / 上市公司 / 500-2000人,奥解思,五险一金周末双休 弹性工作制
